id,web_name,status,defcons,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,match_id,minutes_played,goals,assists,minutesinmatch,goalsinmatch,assistsinmatch,cumminutes,cumgoals,cumassists,cumcleansheets,cumgoalsconceded,cumsaves,position,nextgwpoints,gw2status,gw2min,gw2goalsscored,gw2assists,gw2cs,gw2goals_conceded,gw2defcons,gw2match-id,gw2minutes_playedinmatch,gw2goalsinmatch,gw2assistsinmatch,gw2cummins,gw2cumgoals,gw2cumassits,gw2cumcs,gw2cumgoalsconceded,gw2cumsaves,gw3status,gw3min,gw3goalsscored,gw3assists,gw3cs,gw3defcons,gw3points,gw3match-id,gw3minutes_playedinmatch,gw3goalsinmatch,gw3goals_conceded,gw3assistsinmatch,gw3cummins,gw3cumgoals,gw3cumassists,gw3cumcs,gw3cumgoalsconceded,gw3cumsdefcons,gw3cumsaves,gw3cumtotalpoints,nwxtgwpoints
759,Salmon,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6
32,Martinez,d,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper,2,a,90,0,0,0,1,10,25-26-prem-brentford-vs-aston-villa,90,0,0,90,0,0,0,0,1,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,90,0,0,0,1,10,1,2,0
33,M.Bizot,a,0,7,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,3,Goalkeeper,0,a,0,0,0,0,0,13,#N/A,#N/A,#N/A,#N/A,90,0,0,0,1,0,a,90,0,0,0,3,10,25-26-prem-aston-villa-vs-crystal-palace,90,0,3,0,180,0,0,1,3,23,4,7,0
34,Gauci,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
35,Marschall,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,6
36,Cash,a,11,8,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Defender,2,a,90,0,0,0,1,13,25-26-prem-brentford-vs-aston-villa,90,0,0,180,0,0,0,1,1,a,73,0,0,0,2,4,25-26-prem-aston-villa-vs-crystal-palace,74,0,2,0,253,0,0,1,3,28,0,10,0
37,Digne,a,7,6,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Defender,2,a,63,0,0,0,1,7,25-26-prem-brentford-vs-aston-villa,64,0,0,153,0,0,0,1,1,a,7,0,0,0,0,0,25-26-prem-aston-villa-vs-crystal-palace,7,0,0,0,160,0,0,1,1,14,0,9,0
38,Konsa,a,3,3,65,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,66,0,0,66,0,0,65,0,0,1,0,0,Defender,0,a,0,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,65,0,0,0,1,0,a,90,0,0,0,3,10,25-26-prem-aston-villa-vs-crystal-palace,90,0,3,0,155,0,0,1,3,14,0,4,0
39,Maatsen,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,1,a,26,0,0,0,0,6,25-26-prem-brentford-vs-aston-villa,26,0,0,26,0,0,0,0,0,a,83,0,0,0,3,11,25-26-prem-aston-villa-vs-crystal-palace,84,0,3,0,109,0,0,0,3,17,0,2,5
40,Mings,i,5,6,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Defender,2,a,90,0,0,0,1,13,25-26-prem-brentford-vs-aston-villa,90,0,0,180,0,0,0,1,1,a,90,0,0,0,3,6,25-26-prem-aston-villa-vs-crystal-palace,90,0,3,0,270,0,0,1,4,24,0,9,5
41,Pau,d,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,2,a,90,0,0,0,1,11,25-26-prem-brentford-vs-aston-villa,90,0,0,90,0,0,0,0,1,a,16,0,0,0,1,2,25-26-prem-aston-villa-vs-crystal-palace,16,0,1,0,106,0,0,0,2,13,0,3,6
42,A.García,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,0,d,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,d,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
43,Alex Moreno,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,9
44,Bogarde,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,0,a,16,0,0,0,0,0,25-26-prem-brentford-vs-aston-villa,16,0,0,16,0,0,0,0,0,a,6,0,0,0,0,0,25-26-prem-aston-villa-vs-crystal-palace,6,0,0,0,22,0,0,0,0,0,0,1,0
45,Sousa,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
46,Yasin,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
47,Rogers,a,7,3,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder,2,a,90,0,0,0,1,1,25-26-prem-brentford-vs-aston-villa,90,0,0,180,0,0,0,1,1,a,90,0,0,0,3,7,25-26-prem-aston-villa-vs-crystal-palace,90,0,3,0,270,0,0,1,4,15,0,7,9
48,Tielemans,a,7,3,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder,2,a,90,0,0,0,1,3,25-26-prem-brentford-vs-aston-villa,90,0,0,180,0,0,0,1,1,a,90,0,0,0,3,7,25-26-prem-aston-villa-vs-crystal-palace,90,0,3,0,270,0,0,1,4,17,0,7,0
49,Bailey,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
50,Buendía,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,1,a,58,0,0,0,0,3,25-26-prem-brentford-vs-aston-villa,59,0,0,58,0,0,0,0,0,a,45,0,0,0,2,7,25-26-prem-aston-villa-vs-crystal-palace,45,0,2,0,103,0,0,0,2,10,0,2,3
51,Iling Jr,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,1
53,Malen,a,0,1,6,0,0,0,0,25-26-prem-aston-villa-vs-newcastle-united,6,0,0,6,0,0,6,0,0,0,0,0,Midfielder,1,a,26,0,0,0,0,1,25-26-prem-brentford-vs-aston-villa,26,0,0,32,0,0,0,0,0,a,82,0,0,0,3,3,25-26-prem-aston-villa-vs-crystal-palace,83,0,3,0,114,0,0,0,3,4,0,4,0
54,McGinn,a,7,3,83,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,84,0,0,84,0,0,83,0,0,1,0,0,Midfielder,2,a,73,0,0,0,1,4,25-26-prem-brentford-vs-aston-villa,74,0,0,156,0,0,0,1,1,a,73,0,0,0,2,6,25-26-prem-aston-villa-vs-crystal-palace,74,0,2,0,229,0,0,1,3,17,0,7,2
55,Barkley,i,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,d,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,d,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
56,Barrenechea,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,1
57,Dobbin,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,3
58,Kamara,a,11,2,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder,1,d,15,0,0,0,1,1,25-26-prem-brentford-vs-aston-villa,16,0,0,105,0,0,0,1,1,d,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,105,0,0,1,1,12,0,3,0
59,Onana,a,14,5,90,0,0,1,0,25-26-prem-aston-villa-vs-newcastle-united,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder,1,a,63,0,0,0,1,9,25-26-prem-brentford-vs-aston-villa,64,0,0,153,0,0,0,1,1,d,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,153,0,0,1,1,23,0,6,0
60,Broggio,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
61,Dendoncker,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
62,Jimoh-Aloba,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
